sku_id,machine_family,machine_type,vcpus,memory,cpu_arch,region,region_code,zone,os,network_tier,price_model,on_demand_hourly_usd,spot_hourly_usd,sustained_use_discount_eligible,cud_1yr_discount,cud_3yr_discount,preemptible_available,effective_date,currency,boot_disk_type,boot_disk_gb,local_ssd_count,local_ssd_total_gb,gpu_model,gpu_count,gpu_hourly_usd,egress_destination,egress_gb,egress_unit_price_usd,billing_frequency,usage_hours_month,monthly_cost_estimate_usd,price_source,feedback
SKU-C52944DC25D9,c2,c2-highcpu-32,32 vCPU, 32GIB ,X86-64,Us West1,us-west1,Us West1 C ,Windows Server 2019,premium ,on_demand,$1.9809,0.6863,True,0.2,,no,18-09-2023,usd,PD-BALANCED,10GB,4,0,,,0,same-region,up to 500GB,0.01 USD/GB,per-second,686,$1365.08,Pricing API,"Average pricing, acceptable for standard workloads"
SKU-E30B5875126A,t2d,t2d-standard-96,96,384,arm64,US East (N. Virginia),us_east4,us-east4-c,Linux,Standard,on-demand,$3.9356,1.098,Y, 25 % , 45 % ,no,2024/05/27,US$,PD-SSD,100,0,,,0.0,0,australia,50,0.1973,per_second,720,$2860.49,Manual,"Fair price point, meets expectations"
SKU-AE187D8090D8,c2,c2-standard-32,32,128 GB,x86_64,Asia Northeast1,asia_northeast1,asia-northeast1-a,Linux,Standard,on-demand,1.9595,0.6072 USD,YES,,50%,Y,2024-11-18,€,PD-SSD,50,0,,NVIDIA_A100_40GB,2.0,6.7650 USD,intercontinental,200,0.1193,per_second,720,,Manual,Not cost-effective for our needs
SKU-9E3422759B52,a2,a2-highcpu-96, 96vcpus ,192 GB,arm64,southamerica-east1,southamerica_east1,Southamerica East1 E ,Windows Server 2022,premium ,OnDemand,"€8,8157",2.3353 USD,true,30%,,0,02/12/2024,€,PD-BALANCED,100,0,0,NVIDIA_L4,1.0,0.6132,same-continent,up to 10GB,0.0816,per-second,730,,Manual,"Fair price point, meets expectations"
SKU-8019156735CD,n2d,N2D HIGHCPU 2,2,2 GB,x86_64,NORTHAMERICA-NORTHEAST1,northamerica_northeast1,northamerica-northeast1-c,RHEL,Premium,on-demand,"0,0856","0,0147",True,20%,,1,14-04-2025,US$,pd_balanced, 100gb ,1,,,,0,china,1000,$0.230/GB,hourly,380,272.69,Calculator,"Average cost, meets basic requirements"
SKU-350045ECCF69,n1, n1-highcpu-16 , 16vcpus ,14.4,X86-64,asia-northeast1,asia_northeast1,Asia Northeast1 A ,RHEL,Premium,on-demand,0.6511,$0.1856,no, 30 % , 57 % ,no,2024-09-22,USD,pd_standard,100GB,1,,,,0,same-continent,up to 1000GB,0.0809,per-second,235,237.86,Pricing API,"Moderate cost, suitable for most use cases"
SKU-59AE039DE6A0,A2,a2-standard-4, 4vcpus ,48,arm64,us-central1,US-CENTRAL1,us-central1-f,RHEL,Standard,on-demand,0.4815,—,YES,,,true,01/08/2024,€,pd_ssd,25GB,2,,,0.0,0,same-continent,up to 10GB,0.0774,Per_Second,varies,,Pricing table,"Good value proposition, worth the investment"
SKU-61006419E792,c2,c2-standard-64,64,256 GB,arm64,asia-southeast1,asia-southeast1,Asia Southeast1 A ,Windows Server 2022,Standard,OnDemand,"5,4326",1.1397,YES,,,,10-07-2024,EUR,pd-balanced, 25gb ,2,,NVIDIA_A100_40GB,1.0,3.4572,same-continent,10,"0,0836 /GB",Per_Second,720,,Pricing API,Pricing is competitive
SKU-6675494004A0,C2,c2 HIGHCPU 2, 2vcpus ,2,x86_64,US East (S. Carolina),us-east1,us-east1-d,linux,Premium,OnDemand,US$ 0.0854,0.0243 USD,Y,0.2,0.5,,25-06-2023,USD,pd_ssd,10,2,,,,0,china,up to 100GB,0.2242,per-second,459,63.3,Calculator,Too costly relative to resources
SKU-2B932F25D03E,c3,c3-highmem-32,32, 256GIB ,arm64,europe-west4,europe-west4,europewest4e,RHEL,premium ,on_demand,US$ 2.9136,,N,0.2,0.5,true,05/24/2024,US$,pd-balanced, 50gb ,2,,,,,same-region,up to 500GB,0.0102,per_second,730,"2137,0 USD",Calculator,Standard pricing structure
SKU-4F9E15ACDD0B,c2,c2-highcpu-2, 2vcpus , 2GB ,X86-64,asia-northeast1,asia-northeast1,asia-northeast1-a,Linux,premium ,on_demand,"0,0913","0,0155",True, 25 % ,,Y,2024/10/08,€,pd-ssd,100GB,1,,,0.0,0,intercontinental,up to 100GB,"0,117 /GB",per minute,varies,87.7,Manual,Expensive compared to alternatives
SKU-8B517434C7A6,C3,c3-highcpu-8,8,8 GB,X86-64,europe-west1,europe-west1,EUROPE-WEST1-D,Windows Server 2019,Standard,on-demand,US$ 0.5439,$0.1003,True, 30 % ,45%,True,21-01-2024,USD,pd-ssd,25,0,,,0.0,0,intercontinental,up to 10GB,"0,1224 /GB",per-second,720,$399.48,Calculator,"Expensive option, not recommended"
SKU-8C78F06CD987,t2d,T2D HIGHCPU 32,32,32GB,x86_64,southamerica-east1,southamerica_east1,southamerica-east1-e,linux,premium ,OnDemand,US$ 1.1204,"0,3183",1, 20 % ,0.45,,2024/06/27,USD,PD-STANDARD,25GB,0,,,0.0,,same-continent,10,0.0817,per minute,720,"808,48 USD",Pricing table,Cost is too high for the performance
SKU-0971E6E77E85,c3,c3-highcpu-8, 8vcpus ,8,X86-64,Europe West1,europe_west1,europewest1e,RHEL,Premium,OnDemand,"0,4278",—,Y, 25 % ,0.5,False,2024-01-13,usd,PD-STANDARD, 10gb ,2,,,0.0,,same-continent,200,0.0778,per minute,730,"328,23 USD",Pricing table,Satisfied with the cost and performance
SKU-CD9799223B4C,C3,c3-standard-4,4,16,arm64,asia-northeast1,ASIA-NORTHEAST1,asia-northeast1-f,Windows Server 2019,Standard,OnDemand,0.3516,"0,0735",False, 20 % ,0.5,0,2024/11/15,USD,pd-balanced,10GB,1,,NVIDIA_H100_80GB,4.0,"23,6064",intercontinental,200,$0.123/GB,hourly,720,17275.32,Manual,"Affordable and reliable, highly recommended"
SKU-2F6FF228FF0F,N2D,n2d-standard-2,2,8GiB,X86-64,EUROPE-NORTH1,europe_north1,EUROPE-NORTH1-E,RHEL,STANDARD,on-demand,"0,1161",US$ 0.0436,0,0.3, 57 % ,YES,02/21/2025,USD,PD-SSD,25,2,,NVIDIA_A100_80GB,1.0,4.659,australia,up to 100GB,0.1886,per_second,730,,Calculator,Cost-effective solution for our workload
SKU-ECB2C434F08A,N2D,n2d-standard-8 , 8vcpus ,32,X86-64,Finland ,europe-north1,Europe North1 E  ,SUSE,STANDARD,OnDemand,0.4631,,Y, 30 % ,50%,1,25/12/2024,€,PD-SSD,10GB,0,,,0.0,,same-continent,up to 1000GB,0.0822,per-second,,,Manual,Pricing is competitive
